case,case_label,fraction,scenario,cost,risk_months
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,12,1055235588.0123286,19.370601602578045
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,13,1055175588.0123286,22.580096701407733
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,14,1055205588.0123286,22.90701698070244
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,15,1055155588.0123286,28.929908468184177
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,16,1055145588.0123286,22.280053466719995
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,17,1055145588.0123286,27.370074982088788
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,18,1055195588.0123286,20.106919990402094
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,19,1055215588.0123286,23.916683384916023
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,0,1393146343.7502058,36.33055081001117
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,1,1393146343.7502058,38.02288589416885
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,2,1393146343.7502058,37.49208945609648
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,3,1393146343.7502058,34.71330856464539
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,4,1393146343.7502058,38.50843336117653
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,5,1393146343.7502058,37.25472812310981
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,6,1393146343.7502058,38.27073131575327
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,7,1393146343.7502058,36.460857667949774
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,8,1393146343.7502058,36.04922698315216
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,9,1393146343.7502058,34.98731883288691
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,10,1393146343.7502058,37.64027246120557
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,11,1393146343.7502058,36.602371288386585
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,12,1393146343.7502058,33.013191340735474
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,13,1393146343.7502058,37.37510582055937
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,14,1393146343.7502058,36.202577949928234
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,15,1393146343.7502058,38.74679336568464
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,16,1393146343.7502058,36.54155437231145
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,17,1393146343.7502058,38.69733050475083
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,18,1393146343.7502058,35.840920685484704
