case,case_label,fraction,scenario,cost,risk_months
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,5,1188746746.2728634,34.78987086030817
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,6,1188886746.2728634,37.52580706735583
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,7,1188746746.2728634,32.16352226837032
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,8,1188926746.2728634,30.02152044288774
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,9,1188746746.2728634,27.904496666141256
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,10,1188746746.2728634,34.97336016794255
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,11,1188746746.2728634,33.040577635087956
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,12,1188746746.2728634,27.43401791618266
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,13,1188746746.2728634,33.13375109722571
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,14,1188746746.2728634,32.436463740605056
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,15,1188746746.2728634,37.57061665380959
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,16,1188746746.2728634,33.662235142179455
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,17,1188746746.2728634,38.49580894471586
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,18,1188746746.2728634,30.9289271963379
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,19,1188746746.2728634,34.59953861918807
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,0,1130142627.8220787,28.071238498380673
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,1,1130072627.8220787,34.472364680603704
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,2,1130072627.8220787,30.45214082049287
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,3,1130132627.8220787,26.432530651563248
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,4,1130072627.8220787,34.65236532177575
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,5,1130072627.8220787,30.808820974772154
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,6,1130262627.8220787,31.57540484378018
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,7,1130112627.8220787,27.789808635267118
